datadatetime,venuename,typeofspace,current,expected
2020-03-31 18:00:00,Costco Inglewood,shopping,30,39
2020-03-31 19:00:00,Costco Inglewood,shopping,16,0
2020-03-31 20:00:00,Costco Inglewood,shopping,2,0
2020-03-31 21:00:00,Costco Inglewood,shopping,0,0
2020-03-31 22:00:00,Costco Inglewood,shopping,0,0
2020-03-31 23:00:00,Costco Inglewood,shopping,0,0
2020-04-01 00:00:00,Costco Inglewood,shopping,0,0
2020-04-01 01:00:00,Costco Inglewood,shopping,0,0
2020-04-01 02:00:00,Costco Inglewood,shopping,0,0
2020-04-01 03:00:00,Costco Inglewood,shopping,0,0
2020-04-01 04:00:00,Costco Inglewood,shopping,0,0
2020-04-01 05:00:00,Costco Inglewood,shopping,0,0
2020-04-01 06:00:00,Costco Inglewood,shopping,0,0
2020-04-01 07:00:00,Costco Inglewood,shopping,0,0
2020-04-01 08:00:00,Costco Inglewood,shopping,0,0
2020-04-01 09:00:00,Costco Inglewood,shopping,0,0
2020-04-01 10:00:00,Costco Inglewood,shopping,45,21
2020-04-01 11:00:00,Costco Inglewood,shopping,48,30
2020-04-01 12:00:00,Costco Inglewood,shopping,47,37
2020-04-01 13:00:00,Costco Inglewood,shopping,42,39
2020-04-01 14:00:00,Costco Inglewood,shopping,36,36
2020-04-01 15:00:00,Costco Inglewood,shopping,33,32
2020-04-01 16:00:00,Costco Inglewood,shopping,35,32
2020-04-01 17:00:00,Costco Inglewood,shopping,34,36
2020-04-01 18:00:00,Costco Inglewood,shopping,34,37
2020-04-01 19:00:00,Costco Inglewood,shopping,20,0
2020-04-01 20:00:00,Costco Inglewood,shopping,3,0
2020-04-01 21:00:00,Costco Inglewood,shopping,0,0
2020-04-01 22:00:00,Costco Inglewood,shopping,0,0
2020-04-01 23:00:00,Costco Inglewood,shopping,0,0
2020-04-02 00:00:00,Costco Inglewood,shopping,0,0
2020-04-02 01:00:00,Costco Inglewood,shopping,0,0
2020-04-02 02:00:00,Costco Inglewood,shopping,0,0
2020-04-02 03:00:00,Costco Inglewood,shopping,0,0
2020-04-02 04:00:00,Costco Inglewood,shopping,0,0
2020-04-02 05:00:00,Costco Inglewood,shopping,0,0
2020-04-02 06:00:00,Costco Inglewood,shopping,0,0
2020-04-02 07:00:00,Costco Inglewood,shopping,0,0
2020-04-02 08:00:00,Costco Inglewood,shopping,0,0
2020-04-02 09:00:00,Costco Inglewood,shopping,0,0
2020-04-02 10:00:00,Costco Inglewood,shopping,43,28
2020-04-02 11:00:00,Costco Inglewood,shopping,41,42
2020-04-02 12:00:00,Costco Inglewood,shopping,41,49
2020-04-02 13:00:00,Costco Inglewood,shopping,36,47
2020-04-02 14:00:00,Costco Inglewood,shopping,36,43
2020-04-02 15:00:00,Costco Inglewood,shopping,40,42
